Value,Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Description
F1,MF-MSMF200-2,Bourns Inc.,MF-MSMF200-2CT-ND,1,Polymeric PTC Resettable Fuse
J1,USB4105-GF-A,GCT,2073-USB4105-GF-ACT-ND,1,CONN RCPT USB2.0 TYPEC 5A
R4,ERJ-2RKF2212X,Panasonic Electronic Components,P22.1KLCT-ND,1,RES SMD 22.1K OHM 1% 1/10W 0402
R5,ERJ-2RKF4752X,Panasonic Electronic Components,P47.5KLCT-ND,1,RES SMD 47.5K OHM 1% 1/10W 0402
"R1, R2",ERJ-2RKF5101X,Panasonic Electronic Components,P5.10KLCT-ND,2,RES SMD 5.1K OHM 1% 1/10W 0402
D2,BAT760-7,Diodes Incorporated,BAT760DICT-ND,1,DIODE SCHOTTKY 30V 1A SOD323
"R3, R7, R10, R11",ERJ-2RKF1002X,Panasonic Electronic Components,P10.0KLCT-ND,4,RES SMD 10K OHM 1% 1/10W 0402
"R6, R8, R9",ERJ-2RKF1001X,Panasonic Electronic Components,P1.00KLCT-ND,3,RES SMD 1K OHM 1% 1/10W 0402
U2,MMDT3904-7-F,Diodes Incorporated,MMDT3904-FDICT-ND,1,TRANS 2NPN 40V 0.2A SOT363
D1,ESDLC5V0M5-TP,Micro Commercial Co,ESDLC5V0M5-TPMSCT-ND,1,TVS DIODE 5V 12V SOT563
U1,CP2102N-A02-GQFN28R,Silicon Labs,336-5890-1-ND,1,IC USB TO UART BRIDGE QFN28
U3,AP2112K-3.3TRG1,Diodes Incorporated,AP2112K-3.3TRG1DICT-ND,1,LDO  600mA SOT-25
"C1, C3",CC0402MRX5R6BB475,Yageo,311-1734-1-ND,2,CAP CER 4.7UF 10V X5R 0402
"C2, C4",C0402C104Z4VAC7867,KEMET,399-1043-1-ND,2,CAP CER 0.1UF 16V Y5V 0402
"C5, C6",GRM155C80J106ME11J,Murata Electronics,490-18210-1-ND,2,CAP CER 10UF 6.3V X6S 0402
LED2,150060VS75000,Würth Elektronik,732-4980-1-ND,1,LED GREEN CLEAR 0603 SMD
LED3,150060SS75000,Würth Elektronik,732-4979-1-ND,1,LED RED CLEAR 0603 SMD
LED1,150060BS75000,Würth Elektronik,732-4966-1-ND,1,LED BLUE CLEAR 0603 SMD
J2,PH1RB-06-UA,Adam Tech,PH1RB-06-UA,1,CONN HEADER R/A 6POS 2.54MM
SW1,CUS-13TB,Nidec Copal Electronics,563-1103-1-ND,1,Slide Switch SP3T
